lgbm,lasso,cnn,lstm
0.0,0.0,0.0,0.0
4.276360728723687,14.411336898803713,2.113518476486206,2.1144073009490967
3.3828815950990085,13.586041450500488,1.9274412393569944,1.92659878730774
4.8160802118767,4.907651070415074,4.417807579040527,2.2500874996185303
3.38466870876548,3.546627280932952,3.7242259979248047,1.937380075454712
4.355505259033041,4.48095699546418,4.277737617492676,2.174853801727295
4.273242438453793,4.139855708781632,4.1167356967926025,2.0470287799835205
3.695173761357768,3.710253780273048,3.8298163414001465,1.926544070243836
3.731913586550649,3.875399450889409,3.9093635082244873,2.0042836666107178
3.9380178952570506,3.924139775928032,3.964907646179199,1.9703481197357176
4.127626045664473,4.084303992105322,4.143632411956787,2.0505316257476807
3.7137212790363554,3.7502641177580966,3.9130280017852783,1.9422472715377808
7.76068733012312,8.119572648537908,5.897819876670837,3.917356848716735
8.303236739279669,8.236854604349425,6.148453712463379,6.191990613937378
13.397269946734756,17.98069733335087,8.549501180648804,6.36534309387207
7.058753433443535,11.366772320328636,3.8653674125671382,3.8704147338867188
8.83404338144761,9.991549394731557,2.0567643642425537,2.0785915851593018
2.6269001574278468,2.6423453236081462,1.465238094329834,1.596885085105896
0.0,0.0,0.0,0.0
